title	date	location	filename	url
gwalior. jain temple	1890	India	2017657614.jpg	http://www.loc.gov/item/2017657614/
padstow quay, cornwall, england	1890	UK	2002696600.jpg	http://www.loc.gov/item/2002696600/
general view and mouth of the seine, havre, france	1890	France	2001698144.jpg	http://www.loc.gov/item/2001698144/
skansen, stockholm, sweden	1890	Sweden	2001700740.jpg	http://www.loc.gov/item/2001700740/
krummhubel, with the high mountains, riesengebirge, germany (i.e., karpacz, poland)	1890	Germany	2002720506.jpg	http://www.loc.gov/item/2002720506/
cluny museum, paris, france	1890	France	2001698514.jpg	http://www.loc.gov/item/2001698514/
the gobelin tapestries, linderhof castle, upper bavaria, germany	1890	Germany	2002696250.jpg	http://www.loc.gov/item/2002696250/
the beach and pier, folkestone, england	1890	UK	2002696745.jpg	http://www.loc.gov/item/2002696745/
garron tower hotel. county antrim, ireland	1890	Ireland	2002717360.jpg	http://www.loc.gov/item/2002717360/
notre dame de la garde i, marseilles, france	1890	France	2001698451.jpg	http://www.loc.gov/item/2001698451/
temple of jupiter, interior, baalbek, holy land, (i.e., ba'labakk, lebanon)	1890	Holy Land	2002724953.jpg	http://www.loc.gov/item/2002724953/
zugspitze, view showing side path, upper bavaria, germany	1890	Germany	2002696315.jpg	http://www.loc.gov/item/2002696315/
view on figueroa street, los angeles	1901	US	2008679708.jpg	http://www.loc.gov/item/2008679708/
from the school, shrewsbury, england	1890	UK	2002708095.jpg	http://www.loc.gov/item/2002708095/
upper engadine, sertigthal, grisons, switzerland	1890	Switzerland	2001703029.jpg	http://www.loc.gov/item/2001703029/
hexentanzplatz, bodethal, hartz, germany	1890	Germany	2002713773.jpg	http://www.loc.gov/item/2002713773/
riva schiavoni, seen from s. zaccane, venice, italy	1890	Italy	2001701014.jpg	http://www.loc.gov/item/2001701014/
torrent walk ii, dolgelly (i.e. dolgellau), wales	1890	Wales	2001703479.jpg	http://www.loc.gov/item/2001703479/
spring house, shasta springs, cal.	1898	US	2008678119.jpg	http://www.loc.gov/item/2008678119/
from south, comrie, scotland	1890	Scotland	2001705954.jpg	http://www.loc.gov/item/2001705954/
panoramic view towards oberland, stanserhorn switzerland	1890	Switzerland	2001703183.jpg	http://www.loc.gov/item/2001703183/
gemeenlandshuis, [delft, holland]	1890	Netherlands	2001698778.jpg	http://www.loc.gov/item/2001698778/
general view from neroberg, wiesbaden, hesse-nassau, germany	1890	Germany	2002713909.jpg	http://www.loc.gov/item/2002713909/
mussulmans praying, holy land	1890	Holy Land	2002725092.jpg	http://www.loc.gov/item/2002725092/
pass of ballaghbema. county kerry, ireland	1890	Ireland	2002717419.jpg	http://www.loc.gov/item/2002717419/
buenos aires. rio lujan islas del tigre	1890	Argentina	2017656793.jpg	http://www.loc.gov/item/2017656793/
fort and old bridge, wurzburg, bavaria, germany	1890	Germany	2002696196.jpg	http://www.loc.gov/item/2002696196/
copernicus monument, warsaw, russia (i.e. warsaw, poland)	1890	Germany	2001697527.jpg	http://www.loc.gov/item/2001697527/
clermont-ferrand. basilique de n.d. du port	1890	France	2017657478.jpg	http://www.loc.gov/item/2017657478/
"u.s.s. ""texas"""	1898	US	2008678230.jpg	http://www.loc.gov/item/2008678230/
grohmann monument, tyrol, austro-hungary	1890	Austro-Hungary	2002711037.jpg	http://www.loc.gov/item/2002711037/
the pier, weston-super-mare, england	1890	UK	2002708216.jpg	http://www.loc.gov/item/2002708216/
general view of meiringen, bernese oberland, switzerland	1890	Switzerland	2001701297.jpg	http://www.loc.gov/item/2001701297/
sandven lake, odde (i.e. odda), hardanger fjord, norway	1890	Norway	2001699493.jpg	http://www.loc.gov/item/2001699493/
the calvary, st. paul's church, antwerp, belgium	1890	Belgium	2001697874.jpg	http://www.loc.gov/item/2001697874/
gornergrat railway and matterhorn, valais, alps of, switzerland	1890	Switzerland	2001703300.jpg	http://www.loc.gov/item/2001703300/
the kolk, rotterdam, holland	1890	Netherlands	2001699539.jpg	http://www.loc.gov/item/2001699539/
windermere, steam ferry, lake district, england	1890	UK	2002696895.jpg	http://www.loc.gov/item/2002696895/
"""lydia"""	1890	UK	2002708353.jpg	http://www.loc.gov/item/2002708353/
dinant, ii, belgium	1890	Belgium	2001697931.jpg	http://www.loc.gov/item/2001697931/
house of victor emmanuel, milan, italy	1890	Italy	2001700890.jpg	http://www.loc.gov/item/2001700890/
wilderswyl, bernese oberland, switzerland	1890	Switzerland	2001701278.jpg	http://www.loc.gov/item/2001701278/
lugano, bellinzona, tessin, switzerland	1890	Switzerland	2001703245.jpg	http://www.loc.gov/item/2001703245/
guernsey, cobo, channel islands	1890	UK	2002696483.jpg	http://www.loc.gov/item/2002696483/
portland and mt. hood, oregon	1901	US	2008679564.jpg	http://www.loc.gov/item/2008679564/
gravosa, general view, dalmatia, austro-hungary	1890	Austro-Hungary	2002710763.jpg	http://www.loc.gov/item/2002710763/
burgthor (i.e. burgtor), rothenburg (i.e. ob der tauber), bavaria, germany	1890	Germany	2002696179.jpg	http://www.loc.gov/item/2002696179/
national monument of 1813, hague, holland	1890	Netherlands	2001698797.jpg	http://www.loc.gov/item/2001698797/
bedford. bunyan's statue	1890	UK	2017659173.jpg	http://www.loc.gov/item/2017659173/
from the ramparts of the kremlin, nigni-novgorod, (i.e., nizhniĭ novgorod), russia	1890	Russia	2001697462.jpg	http://www.loc.gov/item/2001697462/
promenade looking towards queen's hotel, cheltenham, england	1890	UK	2002696529.jpg	http://www.loc.gov/item/2002696529/
southwest side, wartburg, thuringia, germany	1890	Germany	2002720785.jpg	http://www.loc.gov/item/2002720785/
territet, chillon and dent du midi, from glion, geneva lake, switzerland	1890	Switzerland	2001702454.jpg	http://www.loc.gov/item/2001702454/
leutaschklamm ii, upper bavaria, germany	1890	Germany	2002696246.jpg	http://www.loc.gov/item/2002696246/
casino and grand hotel, parame, france	1890	France	2001698502.jpg	http://www.loc.gov/item/2001698502/
st. stephen's green park, dublin. county dublin, ireland	1890	Ireland	2002717399.jpg	http://www.loc.gov/item/2002717399/
general view, kynast, riesengebirge, germany	1890	Germany	2002720510.jpg	http://www.loc.gov/item/2002720510/
fagerstrand, telemarken (i.e, telemark), norway	1890	Norway	2001700756.jpg	http://www.loc.gov/item/2001700756/
st. ives, tregenna castle, cornwall, england	1890	UK	2002696616.jpg	http://www.loc.gov/item/2002696616/
the new gambling room, monte carlo, riviera	1890	France	2001699313.jpg	http://www.loc.gov/item/2001699313/
gemmi, daubenhorn, bernese oberland, switzerland	1890	Switzerland	2001701147.jpg	http://www.loc.gov/item/2001701147/
unter den linden, berlin, germany	1890	Germany	2002713620.jpg	http://www.loc.gov/item/2002713620/
glen lyn, falls and upper bridge, lynton and lynmouth, england	1890	UK	2002697007.jpg	http://www.loc.gov/item/2002697007/
torrent walk iii, dolgelly (i.e. dolgellau), wales	1890	Wales	2001703480.jpg	http://www.loc.gov/item/2001703480/
biaschina, loops in the road, st. gotthard railway, switzerland	1890	Switzerland	2001703195.jpg	http://www.loc.gov/item/2001703195/
parade (i.e., promenade) and coast guard station, southwold, england	1890	UK	2002708129.jpg	http://www.loc.gov/item/2002708129/
etablissment thermal, vichy, france	1890	France	2001699256.jpg	http://www.loc.gov/item/2001699256/
devil's bridge, bodethal, germany	1890	Germany	2002713765.jpg	http://www.loc.gov/item/2002713765/
concert in st. mark's place, venice, italy	1890	Italy	2001701002.jpg	http://www.loc.gov/item/2001701002/
wilton castle, ross-on-wye, england	1890	UK	2002708083.jpg	http://www.loc.gov/item/2002708083/
warwick	1890	UK	2017659759.jpg	http://www.loc.gov/item/2017659759/
the cathedral, marseilles, france	1890	France	2001698447.jpg	http://www.loc.gov/item/2001698447/
glengariff harbor. county cork, ireland	1890	Ireland	2002717376.jpg	http://www.loc.gov/item/2002717376/
the valley of chamonix from the aiguille du floria, chamonix valley, france	1890	France	2001697618.jpg	http://www.loc.gov/item/2001697618/
a view near speech house, forest of dean, england	1890	UK	2002696753.jpg	http://www.loc.gov/item/2002696753/
ullswater, howtown bay, lake district, england	1890	UK	2002696883.jpg	http://www.loc.gov/item/2002696883/
saas fee, alpine view, valais, alps of, switzerland	1890	Switzerland	2001703316.jpg	http://www.loc.gov/item/2001703316/
before a gate at constantine, constantine, algeria	1899	Algeria	2001697862.jpg	http://www.loc.gov/item/2001697862/
gasternthal, bernese oberland, switzerland	1890	Switzerland	2001701281.jpg	http://www.loc.gov/item/2001701281/
espelandsfos, odde (i.e. odda), hardanger fjord, norway	1890	Norway	2001699485.jpg	http://www.loc.gov/item/2001699485/
the pantiles, looking south, tunbridge wells, england	1890	UK	2002708200.jpg	http://www.loc.gov/item/2002708200/
capolago, lake maggiore, italy	1890	Italy	2001700869.jpg	http://www.loc.gov/item/2001700869/
tower bridge, iii. (closed), london, england	1890	UK	2002696929.jpg	http://www.loc.gov/item/2002696929/
fassathal (i.e., fassatal), st. nicolo and rosengarten, tyrol, austro-hungary	1890	Austro-Hungary	2002711021.jpg	http://www.loc.gov/item/2002711021/
in the ormond hammock	1898	US	2008678226.jpg	http://www.loc.gov/item/2008678226/
grand theatre, warsaw, russia (i.e. warsaw, poland)	1890	Germany	2001697531.jpg	http://www.loc.gov/item/2001697531/
white tower (i.e. weisser turm), rothenburg (i.e. ob der tauber), bavaria, germany	1890	Germany	2002696180.jpg	http://www.loc.gov/item/2002696180/
group of women of bethlehem, holy land, (i.e., west bank)	1890	Holy Land	2002725084.jpg	http://www.loc.gov/item/2002725084/
montreux, chatelard castle, geneva lake, switzerland	1890	Switzerland	2001702442.jpg	http://www.loc.gov/item/2001702442/
wilhelmsthal, thuringia, germany	1890	Germany	2002720793.jpg	http://www.loc.gov/item/2002720793/
richelieu stair, odessa, russia, (i.e., ukraine)	1890	Ukraine	2001697474.jpg	http://www.loc.gov/item/2001697474/
england. great britain. arundel castle. st. philip's church	1890	UK	2017659165.jpg	http://www.loc.gov/item/2017659165/
windmills on the noordendijk, dordrecht, holland	1890	Netherlands	2001698781.jpg	http://www.loc.gov/item/2001698781/
makarska, cathedral square, dalmatia, austro-hungary	1890	Austro-Hungary	2002710775.jpg	http://www.loc.gov/item/2002710775/
new old south church, boston	1902	US	2008679572.jpg	http://www.loc.gov/item/2008679572/
rübeland with the brockekn, hartz, germany	1890	Germany	2002720639.jpg	http://www.loc.gov/item/2002720639/
jersey, saint aubins, channel islands	1890	UK	2002696495.jpg	http://www.loc.gov/item/2002696495/
porlezza, general view, tessin, switzerland	1890	Switzerland	2001703253.jpg	http://www.loc.gov/item/2001703253/
piazza del duomo,  [milan, italy]	1890	Italy	2001700886.jpg	http://www.loc.gov/item/2001700886/
milksellers, brussels, belgium	1890	Belgium	2001697927.jpg	http://www.loc.gov/item/2001697927/
whitby, runswick bay, yorkshire, england	1890	UK	2002708345.jpg	http://www.loc.gov/item/2002708345/
amphitheatre and soldiers' monument, cleves, westphalia, germany	1890	Germany	2002720814.jpg	http://www.loc.gov/item/2002720814/
alster arcade and hotel st. petersburg, hamburg, germany	1890	Russia	2002713677.jpg	http://www.loc.gov/item/2002713677/
kirchenfeld bridge with kirchenfeld, berne, switzerland	1890	Switzerland	2001701110.jpg	http://www.loc.gov/item/2001701110/
penshurst castle, tunbridge wells, england	1890	UK	2002708191.jpg	http://www.loc.gov/item/2002708191/
ramsey, iron bridge, isle of man	1890	UK	2002697050.jpg	http://www.loc.gov/item/2002697050/
town bridge, salzburg, austro-hungary	1890	Austro-Hungary	2002710958.jpg	http://www.loc.gov/item/2002710958/
gersau with oberbauen, lake lucerne, switzerland	1890	Switzerland	2001703087.jpg	http://www.loc.gov/item/2001703087/
the bourse and harbor, konigsberg, east prussia, germany (i.e., kaliningrad, kaliningradskai︠a︡ oblastʹ, russia)	1890	Germany	2002714018.jpg	http://www.loc.gov/item/2002714018/
government avenue, cape town	1890	South Africa	2017657655.jpg	http://www.loc.gov/item/2017657655/
col di paggio, san remo, riviera	1890	France	2001699344.jpg	http://www.loc.gov/item/2001699344/
loen, kjendalskronebrae, nordfjord, norway	1890	Norway	2001700701.jpg	http://www.loc.gov/item/2001700701/
the town hall, dijon, france	1890	France	2001698105.jpg	http://www.loc.gov/item/2001698105/
greenaway ferry, dartmouth, england	1890	UK	2002696641.jpg	http://www.loc.gov/item/2002696641/
the konigsstuhl, seen from strand, stubbenkammer, isle of rugen, germany	1890	Germany	2002720547.jpg	http://www.loc.gov/item/2002720547/
