	title	contributor	date	lot	country	city	locationdef	source	basename	ur
0	[Montreux, and Clarens, Geneve Lake, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702462.jpg	http://www.loc.gov/item/2001702462/
1	[The Gate of Notre Dame d'Iberia, Moscow, Russia]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697454.jpg	http://www.loc.gov/item/2001697454/
2	Chateau de Ramezay. Montreal	['Detroit Photographic Co., publisher']	1901	LOT 14184	['canada']	['montréal.']	Cuba	no source	2017659145.jpg	http://www.loc.gov/item/2017659145/
3	[Harbor, Nice, France]	no contributor	1890	LOT 13512	no country	no city	unidentified	Nineteenth century travel views of Europe	2002715107.jpg	http://www.loc.gov/item/2002715107/
4	[Cattaro, from the West, Dalmatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710755.jpg	http://www.loc.gov/item/2002710755/
5	Phelps Hall and gateway, Yale College	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008679552.jpg	http://www.loc.gov/item/2008679552/
6	[Christianental, Wernigerode, Hartz Mountains, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720619.jpg	http://www.loc.gov/item/2002720619/
7	[Sion, general view, Valais, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703273.jpg	http://www.loc.gov/item/2001703273/
8	[Toblach, New Toblach, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711144.jpg	http://www.loc.gov/item/2002711144/
9	[Park and Chamber of Representatives, Brussels, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697907.jpg	http://www.loc.gov/item/2001697907/
10	[Waiting for a job (donkeys), England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708365.jpg	http://www.loc.gov/item/2002708365/
11	[Zermatt, Upper Gorner Gorge, Valais Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703336.jpg	http://www.loc.gov/item/2001703336/
12	[Luce Ben Aben, School of Arab Embroidery, Algiers, Algeria]	no contributor	1899	LOT 13420	no country	no city	Algeria	Views of people and sites in Algeria	2001697842.jpg	http://www.loc.gov/item/2001697842/
13	[The sands, Weston-super-Mare, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708220.jpg	http://www.loc.gov/item/2002708220/
14	[A funeral vault in the Campo Santo, Genoa, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700849.jpg	http://www.loc.gov/item/2001700849/
15	[Stonebows, Lincoln, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696909.jpg	http://www.loc.gov/item/2002696909/
16	[Bosen and Johannesplatz, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711001.jpg	http://www.loc.gov/item/2002711001/
17	The summit of Pike's Peak	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008678206.jpg	http://www.loc.gov/item/2008678206/
18	[Town and fortress, Tiflis, Russia, (Tbilisi, Georgia)]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697511.jpg	http://www.loc.gov/item/2001697511/
19	[Ems-Les Bains (i.e., Bad Ems), Hesse-Nassau, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713895.jpg	http://www.loc.gov/item/2002713895/
20	[Interlaken, Kursall, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701188.jpg	http://www.loc.gov/item/2001701188/
21	[Dumfries House from south, Cumnock, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001705962.jpg	http://www.loc.gov/item/2001705962/
22	Benares. Aurungzebs Mosque	['Photoglob Co., publisher']	1890	LOT 14192	['india']	['vārānasi']	India	no source	2017658168.jpg	http://www.loc.gov/item/2017658168/
23	[The Avenue, Southampton, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708109.jpg	http://www.loc.gov/item/2002708109/
24	[Milk seller of Siloam, Holy Land]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2001699276.jpg	http://www.loc.gov/item/2001699276/
25	California. Mirror Lake, Yosemite Valley	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678085.jpg	http://www.loc.gov/item/2008678085/
26	[Roland's Hospital, Hildesheim, Hanover, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713745.jpg	http://www.loc.gov/item/2002713745/
27	[The Grand Canal, view I, Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701022.jpg	http://www.loc.gov/item/2001701022/
28	[Pontoon bridge from Deutz, Cologne, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714080.jpg	http://www.loc.gov/item/2002714080/
29	[Railroad, Florence, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700799.jpg	http://www.loc.gov/item/2001700799/
30	[Baden-Baden and the Kurgarten, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696323.jpg	http://www.loc.gov/item/2002696323/
31	[General view, Bethel, Holy Land, (i.e., West Bank)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002724965.jpg	http://www.loc.gov/item/2002724965/
32	[General view, Montpelier, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698467.jpg	http://www.loc.gov/item/2001698467/
33	[Schachen, view of the Hinterrainthal, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696289.jpg	http://www.loc.gov/item/2002696289/
34	[Pleaskin Head, Giant's Causeway. County Antrim, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717356.jpg	http://www.loc.gov/item/2002717356/
35	[Casino and beach at low tide, Cherbourg, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001697638.jpg	http://www.loc.gov/item/2001697638/
36	Pikes Peak Avenue, Colorado Springs	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008679694.jpg	http://www.loc.gov/item/2008679694/
37	[The sands, Gorleston, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696773.jpg	http://www.loc.gov/item/2002696773/
38	[Oberammergau from Ettaler Street, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696266.jpg	http://www.loc.gov/item/2002696266/
39	[The Opera House, the grand staircase, Paris, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698522.jpg	http://www.loc.gov/item/2001698522/
40	[Krummhubel, Riesengebirge, Germany (i.e., Karpacz, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720530.jpg	http://www.loc.gov/item/2002720530/
41	Caserne du regiment Preobreschenska de la Garde du Corps [i.e., St. Petersburg. New Hermitage building from Millionnaya Street] S.-Peterburgʺ. Kazarma Preobrazhekskage polka leĭbʺ-gvardīi.	no contributor	1890	LOT 14184	no country	no city	Cuba	no source	2014646339.jpg	http://www.loc.gov/item/2014646339/
42	[Bellagio, general view, Lake Como, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700776.jpg	http://www.loc.gov/item/2001700776/
43	[From Dyer's Hill, Dartmouth, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696636.jpg	http://www.loc.gov/item/2002696636/
44	[The arena, interior, Nîmes, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698488.jpg	http://www.loc.gov/item/2001698488/
45	Lucknow. Residency Eastern Side	['Photoglob Co., publisher']	1890	LOT 14192	['india']	['lucknow']	India	no source	2017657622.jpg	http://www.loc.gov/item/2017657622/
46	[Corniche Road and Paillon Valley, Nice, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699333.jpg	http://www.loc.gov/item/2001699333/
47	[Kossuth Monument, Miskolez, Hungary, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710885.jpg	http://www.loc.gov/item/2002710885/
48	[Grindelwald, grotto, II, with waterfall, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701167.jpg	http://www.loc.gov/item/2001701167/
49	[The Rhine Bridge, Mannheim, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713600.jpg	http://www.loc.gov/item/2002713600/
50	Calcutta. Maliks Ghat	['Photoglob Co., publisher']	1890	LOT 14192	['india']	['kolkata']	India	no source	2017658187.jpg	http://www.loc.gov/item/2017658187/
51	[Douglas, loch promenade, Isle of Man]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697027.jpg	http://www.loc.gov/item/2002697027/
52	[The old town, Mentone, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699299.jpg	http://www.loc.gov/item/2001699299/
53	[General view, Louvain, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697950.jpg	http://www.loc.gov/item/2001697950/
54	[Stainforth Falls, Yorkshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708332.jpg	http://www.loc.gov/item/2002708332/
55	[Sella Group, Bergerturm, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711113.jpg	http://www.loc.gov/item/2002711113/
56	[Fingal's Cave, Staffa, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001706026.jpg	http://www.loc.gov/item/2001706026/
57	[Lutschinen Valley, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701219.jpg	http://www.loc.gov/item/2001701219/
58	[Locarno, general view, Tessin, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703224.jpg	http://www.loc.gov/item/2001703224/
59	[Minster, choir east, York, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708298.jpg	http://www.loc.gov/item/2002708298/
60	[The rock in the Mosque of Omar, Jerusalem]	no contributor	1890	LOT 14184	no country	no city	Cuba	no source	2003653103.jpg	http://www.loc.gov/item/2003653103/
61	[Bad Kissengen (i.e. Bad Kissingen), general view,  Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696118.jpg	http://www.loc.gov/item/2002696118/
62	[Višegrad, Bosnia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710702.jpg	http://www.loc.gov/item/2002710702/
63	Parliament buildings, Ottawa	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008679505.jpg	http://www.loc.gov/item/2008679505/
64	[Gursuff, (i.e., Gurzuf), from the Jalta, (i.e., Yalta) Road, the Crimea, Russia, (i.e., Ukraine)]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697403.jpg	http://www.loc.gov/item/2001697403/
65	[Kurhaus, Misdroy, Pomerania, Germany  (i.e., Międzyzdroje, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713987.jpg	http://www.loc.gov/item/2002713987/
66	Wien. Karlskirche	['Photoglob Co., publisher']	1890	LOT 14184	['austria']	['vienna']	Cuba	no source	2017659112.jpg	http://www.loc.gov/item/2017659112/
67	[Montreux, general view, Geneva Lake, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702435.jpg	http://www.loc.gov/item/2001702435/
68	[The cathedral, Chester, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696548.jpg	http://www.loc.gov/item/2002696548/
69	[General view, Ahlbeck, Pomerania, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713968.jpg	http://www.loc.gov/item/2002713968/
70	[General view, Tréport, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698719.jpg	http://www.loc.gov/item/2001698719/
71	[The Palace of Arms, Abbeville, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001697546.jpg	http://www.loc.gov/item/2001697546/
72	[Laugkofigruppe (i.e., Langkafelgruppe), Pragerhutte, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711056.jpg	http://www.loc.gov/item/2002711056/
73	Pulpit Terraces from above, Yellowstone National Park	['Photochrom Co.']	1898	LOT 13923	no country	no city	US	no source	2008678251.jpg	http://www.loc.gov/item/2008678251/
74	[Street of the camels, Algiers, Algeria]	no contributor	1899	LOT 13420	no country	no city	Algeria	Views of people and sites in Algeria	2001697815.jpg	http://www.loc.gov/item/2001697815/
75	[Karlsruhe, general view, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713591.jpg	http://www.loc.gov/item/2002713591/
76	[Severn Bridge, Worcester, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708277.jpg	http://www.loc.gov/item/2002708277/
77	[From Utoquay, Zurich, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703361.jpg	http://www.loc.gov/item/2001703361/
78	[View in the park, Utrecht, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699558.jpg	http://www.loc.gov/item/2001699558/
79	[Shakespeare's Cliff, Dover, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696724.jpg	http://www.loc.gov/item/2002696724/
80	[The museum, Augusta Platz, Leipsig (i.e., Leipzig), Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720588.jpg	http://www.loc.gov/item/2002720588/
81	[Dungarven Bridge and Harbor (i.e. Dungarvan). County Waterford, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717301.jpg	http://www.loc.gov/item/2002717301/
82	[The Church, Battle, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696374.jpg	http://www.loc.gov/item/2002696374/
83	[Tête d'Or park and monument to the Legions of the Rhone, Lyons, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698430.jpg	http://www.loc.gov/item/2001698430/
84	[Promenade and cathedral, Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703048.jpg	http://www.loc.gov/item/2001703048/
85	[Equestrian monument, Victor Emmanuel II, Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701075.jpg	http://www.loc.gov/item/2001701075/
86	[Town from the Lighthouse, Bremerhafen, Hanover (i.e. Hannover), Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713712.jpg	http://www.loc.gov/item/2002713712/
87	Thèbes, Medinet-Abou, le pavillon	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['thebes (extinct city)']	Egypt	no source	2017656988.jpg	http://www.loc.gov/item/2017656988/
88	Woy-Woy	['Photoglob Co., publisher']	1890	LOT 14192	['australia']	no city	Australia	no source	2017657730.jpg	http://www.loc.gov/item/2017657730/
89	Mission San Antonio	['Photochrom Co.']	1898	LOT 13923	no country	no city	US	no source	2008678178.jpg	http://www.loc.gov/item/2008678178/
90	[Penrhyn Castle, Bangor, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703418.jpg	http://www.loc.gov/item/2001703418/
91	[Borgo (i.e., Borgo Valsugana) with Telvano Castle and Cima Dodici, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710997.jpg	http://www.loc.gov/item/2002710997/
92	"[""Maria Theresia,"" Promenade Deck, North German Lloyd, Royal Mail Steamers"	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720834.jpg	http://www.loc.gov/item/2002720834/
93	Cliff Palace, Mesa Verde, from the ruins	['Photochrom Co.']	1898	LOT 13923	no country	no city	US	no source	2008678197.jpg	http://www.loc.gov/item/2008678197/
94	[General view, the river and warehouses, Frankfort on Main (i.e. Frankfurt am Main), Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713657.jpg	http://www.loc.gov/item/2002713657/
95	[The railway between Passhohe and Meiringen, Brunig, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701130.jpg	http://www.loc.gov/item/2001701130/
96	[Kingsgate Castle, Margate, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697070.jpg	http://www.loc.gov/item/2002697070/
97	[Semmering Railway to Weinzettelwand, Styria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710978.jpg	http://www.loc.gov/item/2002710978/
98	[Bridge houses, Kreuznach (i.e., Bad Kreuznach), Nahethal, Rhenish Prussia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714038.jpg	http://www.loc.gov/item/2002714038/
99	Port Said, le port	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['port said']	Egypt	no source	2017656967.jpg	http://www.loc.gov/item/2017656967/
100	[The beach, San Sebastián, Spain]	no contributor	1890	LOT 13426	no country	no city	Spain	Views of Barcelona, Hondarribia, and San Sebastián, Spain	2001699364.jpg	http://www.loc.gov/item/2001699364/
101	[The beach, Fecamp, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698125.jpg	http://www.loc.gov/item/2001698125/
102	[Balholm (i.e., Balestrand) from the fjord, Sognefjord, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700721.jpg	http://www.loc.gov/item/2001700721/
103	[Bakewell, from river, Derbyshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696661.jpg	http://www.loc.gov/item/2002696661/
104	[Loschwitz, Dresden, Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720567.jpg	http://www.loc.gov/item/2002720567/
105	"[""Blue Gumpen"" and Jagerhutte, Hinterrainthal, Upper Bavaria, Germany]"	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696231.jpg	http://www.loc.gov/item/2002696231/
106	[The Trocadero, Exposition Universelle, 1900, Paris, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698575.jpg	http://www.loc.gov/item/2001698575/
107	Lake Rotomahana & Mt. Tarawera	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017657819.jpg	http://www.loc.gov/item/2017657819/
108	[The Avants, with Dent de Jaman, Geneva Lake, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702423.jpg	http://www.loc.gov/item/2001702423/
109	[Stettin Harbor, Pomerania, Germany (i.e., Szczecin, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713991.jpg	http://www.loc.gov/item/2002713991/
110	Wien. Minerva Brunnen	['Photoglob Co., publisher']	1890	LOT 14184	['austria']	['vienna']	Cuba	no source	2017659104.jpg	http://www.loc.gov/item/2017659104/
111	[The road, the first bridge, Groussie, (i.e., Georgia), Russia]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697415.jpg	http://www.loc.gov/item/2001697415/
112	Parliament buildings, Toronto	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008679513.jpg	http://www.loc.gov/item/2008679513/
113	[Triglav, Rothwein (i.e., Rotwein), and waterfall, Carniola, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710714.jpg	http://www.loc.gov/item/2002710714/
114	[Showing war ships, the harbor, Kiel, Schleswig-Holstein, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720658.jpg	http://www.loc.gov/item/2002720658/
115	[Tophane Fountain, Constantinople, Turkey]	no contributor	1890	LOT 14184	no country	no city	Cuba	no source	2003653115.jpg	http://www.loc.gov/item/2003653115/
116	[From the Seestrasse, Constance (i.e. Konstanz), Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713568.jpg	http://www.loc.gov/item/2002713568/
117	[Lugano, general view, Tessin, Switzerland ]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703232.jpg	http://www.loc.gov/item/2001703232/
118	[Sarnthal (i.e., Sarntal), Ried and Runkelstein, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711105.jpg	http://www.loc.gov/item/2002711105/
119	[Scarborough, the spa, Yorkshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708324.jpg	http://www.loc.gov/item/2002708324/
120	[Theatre Place, Liège, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697946.jpg	http://www.loc.gov/item/2001697946/
121	[The Utoquay, from Enge Park, Zurich, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703377.jpg	http://www.loc.gov/item/2001703377/
122	[Seashore near Shanklin, Isle of Wight, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708261.jpg	http://www.loc.gov/item/2002708261/
123	[Ruprechtsbau, Heidelberg, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713587.jpg	http://www.loc.gov/item/2002713587/
124	[Harbor by moonlight, I, Algiers, Algeria]	no contributor	1899	LOT 13420	no country	no city	Algeria	Views of people and sites in Algeria	2001697803.jpg	http://www.loc.gov/item/2001697803/
125	"""Old Faithful"" Geyser, Yellowstone National Park"	['Photochrom Co.']	1898	LOT 13923	no country	no city	US	no source	2008678247.jpg	http://www.loc.gov/item/2008678247/
126	[Henley Regatta, II., England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696948.jpg	http://www.loc.gov/item/2002696948/
127	[Hotel Penegal, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711040.jpg	http://www.loc.gov/item/2002711040/
128	[View from the Hotel Fasano, Fasano, Lake Garda, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700808.jpg	http://www.loc.gov/item/2001700808/
129	[Rue de Boigne, Chambéry, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001697550.jpg	http://www.loc.gov/item/2001697550/
130	[The castle, Taunton, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708148.jpg	http://www.loc.gov/item/2002708148/
131	Patras. Le Port	['Photoglob Co., publisher']	1890	LOT 14192	['greece']	['patra']	Greece	no source	2017658129.jpg	http://www.loc.gov/item/2017658129/
132	[Semmering Railway, Breitenstein, Styria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710981.jpg	http://www.loc.gov/item/2002710981/
133	[Heysham Village, Morecambe, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697089.jpg	http://www.loc.gov/item/2002697089/
134	Warrambul National Park	['Photoglob Co., publisher']	1890	LOT 14192	['australia']	no city	Australia	no source	2017657726.jpg	http://www.loc.gov/item/2017657726/
135	Mt. Rolleston, Entrance to Otira Gorge	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017658083.jpg	http://www.loc.gov/item/2017658083/
136	[Grand Canal and Doges' Palace by moonlight, Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701063.jpg	http://www.loc.gov/item/2001701063/
137	[Blankenese, Hamburg, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713704.jpg	http://www.loc.gov/item/2002713704/
138	[Matlock with promenade and Heights of Jacob, Derbyshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696698.jpg	http://www.loc.gov/item/2002696698/
139	Roche Abbey	no contributor	1890	LOT 14184	['great britain']	['maltby']	UK	no source	2017659738.jpg	http://www.loc.gov/item/2017659738/
140	[Bellecour Place, Lyons, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698426.jpg	http://www.loc.gov/item/2001698426/
141	[The Cross and horse fair, Banbury, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696362.jpg	http://www.loc.gov/item/2002696362/
142	Chalet bei Davos, no. 1	no contributor	1890	LOT 14194	no country	no city	na	Photochrom print collection	2017651758.jpg	http://www.loc.gov/item/2017651758/
143	[Irish colleen]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717317.jpg	http://www.loc.gov/item/2002717317/
144	[The cathedral from the river, Ely, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696732.jpg	http://www.loc.gov/item/2002696732/
145	[Grand entrance, Exposition Universal, 1900, Paris, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698563.jpg	http://www.loc.gov/item/2001698563/
146	[Hinterbarenbad, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696227.jpg	http://www.loc.gov/item/2002696227/
147	[Prison Pond, Altstadt, Dresden, Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720571.jpg	http://www.loc.gov/item/2002720571/
148	[Dovedale, stepping stones, Derbyshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696677.jpg	http://www.loc.gov/item/2002696677/
149	[General view from Cape Lihou, Granville, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698133.jpg	http://www.loc.gov/item/2001698133/
150	[The Isefiorden, Spitzbergen, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700737.jpg	http://www.loc.gov/item/2001700737/
151	[Bedchamber of the late Bey of Tunis, Kasr-el-Said, Tunisia]	no contributor	1899	LOT 13427	no country	no city	Tunisia	Views of architecture and people in Tunisia	2001699372.jpg	http://www.loc.gov/item/2001699372/
