	title	contributor	date	lot	country	city	locationdef	source	basename	ur
6064	[The hotels, Luchon, Pyrenees, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698652.jpg	http://www.loc.gov/item/2001698652/
6065	[Oderthal and view of Brocken, Hartz, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713823.jpg	http://www.loc.gov/item/2002713823/
6066	[Castle Hohenschwangau and Algau Alps, Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696116.jpg	http://www.loc.gov/item/2002696116/
6067	[Hotels and beach, Borkum, Schleswig-Holstein, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720640.jpg	http://www.loc.gov/item/2002720640/
6068	Port Said, grande rue dans l'Arabie	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['port said']	Egypt	no source	2017656969.jpg	http://www.loc.gov/item/2017656969/
6069	[Sychnant Pass, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703553.jpg	http://www.loc.gov/item/2001703553/
6070	[Southwell Cathedral and abbey ruins, Notts, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708015.jpg	http://www.loc.gov/item/2002708015/
6071	In Buller Gorge II	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017658074.jpg	http://www.loc.gov/item/2017658074/
6072	[The Ursern Valley, Andermatt, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701094.jpg	http://www.loc.gov/item/2001701094/
6073	[Munster am Stein (i.e., Bad Münster am Stein-Ebernburg), Nahethal, Rhenish Prussia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714036.jpg	http://www.loc.gov/item/2002714036/
6074	[Mariazell, general view, Styria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710976.jpg	http://www.loc.gov/item/2002710976/
6075	[Loch Tummel, Queen's View, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2002695043.jpg	http://www.loc.gov/item/2002695043/
6076	[The landing-place near cathedral, Belgrade, Servia]	no contributor	1890	LOT 13433	no country	no city	Serbia	Views of Belgrade, Serbia	2001698828.jpg	http://www.loc.gov/item/2001698828/
6077	[Casino with Palm Garden, Frankfort on Main (i.e. Frankfurt am Main), Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713659.jpg	http://www.loc.gov/item/2002713659/
6078	[Sisikon, Lake Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703103.jpg	http://www.loc.gov/item/2001703103/
6079	[Strudel (i.e., rapids), Upper Austria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708445.jpg	http://www.loc.gov/item/2002708445/
6080	Colorado. Sangre de Cristo from Poncha Pass	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678199.jpg	http://www.loc.gov/item/2008678199/
6081	Nelson House and Main Street, Yorktown, Virginia	['Detroit Photographic Co.']	1902	LOT 13923	no country	no city	US	no source	2008679622.jpg	http://www.loc.gov/item/2008679622/
6082	[The palace and the pond in the Grand Garden, Altstadt, Dresden, Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720569.jpg	http://www.loc.gov/item/2002720569/
6083	[Upper Bognor Road, Bognor, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696395.jpg	http://www.loc.gov/item/2002696395/
6084	[Eyam Plague Cottages, Derbyshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696680.jpg	http://www.loc.gov/item/2002696680/
6085	London. Westminster Abbey. North Door	no contributor	1890	LOT 14184	['great britain']	['london']	UK	no source	2017659720.jpg	http://www.loc.gov/item/2017659720/
6086	[General view, Orange, Provence, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698594.jpg	http://www.loc.gov/item/2001698594/
6087	[Loschwitz, Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720586.jpg	http://www.loc.gov/item/2002720586/
6088	Grèce. Vue Générale du Phalere	['Photoglob Co., publisher']	1890	LOT 14192	['greece']	no city	Greece	no source	2017658131.jpg	http://www.loc.gov/item/2017658131/
6089	[St. Mary's Church, Taunton, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708150.jpg	http://www.loc.gov/item/2002708150/
6090	[Parade looking east, Morecambe, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697091.jpg	http://www.loc.gov/item/2002697091/
6091	[Bosen and Rosengarten, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710999.jpg	http://www.loc.gov/item/2002710999/
6092	Silver Apron, Yosemite Valley	['Photochrom Co.']	1898	LOT 13923	no country	no city	US	no source	2008678176.jpg	http://www.loc.gov/item/2008678176/
6093	[Cathedral, Bangor, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703416.jpg	http://www.loc.gov/item/2001703416/
6094	[Bab Suika-Suker Square, Tunis, Tunisia]	no contributor	1899	LOT 13427	no country	no city	Tunisia	Views of architecture and people in Tunisia	2001699385.jpg	http://www.loc.gov/item/2001699385/
6095	Chamonix. Les Praz et l'Aiguille du Dru	['Photoglob Co., publisher']	1890	LOT 14184	['france']	['chamonix-mont-blanc']	France	no source	2017650151.jpg	http://www.loc.gov/item/2017650151/
6096	Canal de Suez, entrée au Lac Timsah	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	no city	Egypt	no source	2017656986.jpg	http://www.loc.gov/item/2017656986/
6097	[Zara, general view, Dalmatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710833.jpg	http://www.loc.gov/item/2002710833/
6098	[The Schweizerhof Quay, and New Bridge, Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703046.jpg	http://www.loc.gov/item/2001703046/
